a	một,
ruling	phán quyết,
rumor	tin đồn,
run	chạy,
runner	người chạy,
running	đang chạy,
rush	vội vã,
Russian	Người Nga,
sack	bao,
sacred	Linh thiêng,
sacrifice	sự hy sinh,
safe	an toàn,
safely	an toàn,
safety	an toàn,
sail	cánh buồm,
sake	lợi ích,
sales	bán hàng,
salmon	cá hồi,
salt	Muối,
same	tương tự,
sample	mẫu vật,
sanction	sự trừng phạt,
sandwich	sandwich,
satisfy	làm vui lòng,
save	tiết kiệm,
say	Nói,
scale	tỉ lệ,
scan	quét,
scandal	vụ bê bối,
scare	sợ hãi,
scary	đáng sợ,
scatter	tiêu tan,
scene	bối cảnh,
scent	hương thơm,
scheme	kế hoạch,
scholarship	học bổng,
school	trường học,
science	khoa học,
scientific	thuộc về khoa học,
scientist	nhà khoa học,
scope	phạm vi,
score	ghi bàn,
scramble	tranh giành,
scratch	vết trầy,
screen	màn,
screening	kiểm tra,
screw	Đinh ốc,
script	kịch bản,
sculpture	điêu khắc,
sea	biển,
seal	niêm phong,
search	Tìm kiếm,
season	Mùa,
seat	ghế,
second	thứ hai,
secondary	thứ hai,
secret	bí mật,
section	phần,
sector	ngành,
secular	thế tục,
secure	đảm bảo,
security	Bảo vệ,
see	xem,
seed	giống,
seek	tìm kiếm,
seem	hình như,
seemingly	có vẻ,
seize	tịch thu,
seldom	ít khi,
select	lựa chọn,
selected	đã chọn,
selfesteem	lòng tự trọng,
sell	bán,
seller	người bán,
seminar	hội thảo,
Senate	Thượng nghị viện,
send	gửi,
senior	cao cấp,
sensation	cảm giác,
sense	giác quan,
sensitivity	nhạy cảm,
sensor	cảm biến,
sentiment	tình cảm,
separate	tách rời,
separation	tách biệt,
sequence	trình tự,
series	loạt,
serious	nghiêm trọng,
seriously	nghiêm túc,
servant	người hầu,
serve	phục vụ,
service	dịch vụ,
serving	phục vụ,
session	phiên họp,
set	bộ,
setting	cài đặt,
settle	ổn định,
seven	bảy,
seventh	thứ bảy,
several	một số,
severely	nghiêm trọng,
sex	tình dục,
sexual	tình dục,
sexuality	tình dục,
sexually	tình dục,
sexy	sexy,
shade	bóng râm,
shadow	bóng,
shake	lắc,
shallow	nông,
shame	xấu hổ,
shape	hình dạng,
share	chia sẻ,
shared	chia sẻ,
shareholder	cổ đông,
shark	cá mập,
sharply	mạnh,
she	chị ấy,
shed	đổ ra,
sheep	cừu,
sheer	tuyệt,
sheet	tấm,
shift	sự thay đổi,
shine	tỏa sáng,
ship	tàu,
shirt	áo sơ mi,
shit	dơ bẩn,
shock	sốc,
shoe	giày,
shoot	bắn,
shop	cửa tiệm,
shore	bờ biển,
short	ngắn,
shortage	sự thiếu,
shorts	quần short,
shortterm	thời gian ngắn,
shot	bắn,
should	Nên,
shoulder	vai,
shove	xô,
show	chỉ,
shower	vòi hoa sen,
shrimp	con tôm,
shrink	co lại,
shrug	nhún vai,
shut	đóng lại,
shuttle	đưa đón,
shy	nhát,
sibling	anh chị em ruột,
sick	đau ốm,
side	bên,
sidewalk	đường đi bộ,
sigh	thở dài,
sight	thị giác,
sign	ký tên,
signal	tín hiệu,
signature	Chữ ký,
significant	có ý nghĩa,
significantly	đáng kể,
silence	khoảng lặng,
silk	lụa,
silly	ngớ ngẩn,
similar	giống,
similarity	sự giống nhau,
simple	đơn giản,
simply	đơn giản,
simultaneously	đồng thời,
sin	tội,
since	kể từ,
sing	hát,
single	Độc thân,
sink	bồn rửa,
sister	em gái,
sit	ngồi,
site	địa điểm,
situation	tình hình,
six	sáu,
sixth	thứ sáu,
size	kích thước,
ski	trượt tuyết,
skill	kỹ năng,
skilled	có kỹ năng,
skin	da,
skip	bỏ qua,
skirt	váy,
skull	sọ,
sky	bầu trời,
slam	sập,
slap	tát,
slavery	chế độ nô lệ,
sleep	ngủ,
sleeve	tay áo,
slice	lát,
slide	trượt,
slight	nhẹ,
slightly	khinh bỉ,
slip	trượt,
slope	dốc,
slot	khe,
slow	chậm,
slowly	chậm rãi,
small	nhỏ bé,
smart	thông minh,
smile	nụ cười,
snake	con rắn,
sneak	sneak,
snow	tuyết,
so	vì thế,
soak	ngâm,
soap	xà bông,
soar	bay lên,
soccer	bóng đá,
social	xã hội,
socially	xã hội,
society	xã hội,
sock	bít tất,
sodium	natri,
sofa	ghế sô pha,
soft	mềm mại,
soften	làm mềm,
softly	nhẹ nhàng,
software	phần mềm,
soil	đất,
soldier	lính,
sole	Duy Nhất,
solely	chỉ,
solution	dung dịch,
solve	giải quyết,
some	một số,
somebody	có ai,
someday	một ngày nào đó,
somehow	bằng cách nào đó,
someone	người nào,
something	cái gì đó,
sometime	thỉnh thoảng,
sometimes	đôi khi,
somewhat	phần nào,
somewhere	một vài nơi,
son	Con trai,
song	bài hát,
soon	Sớm,
sophisticated	tinh vi,
sorry	lấy làm tiếc,
sort	sắp xếp,
soul	Linh hồn,
sound	âm thanh,
soup	Súp,
source	nguồn,
south	miền Nam,
southeast	Đông Nam,
southern	phía Nam,
southwest	tây nam,
sovereignty	chủ quyền,
Soviet	Liên Xô,
space	không gian,
spare	phụ tùng,
spark	tia lửa,
speak	nói,
special	đặc biệt,
specialize	chuyên môn hóa,
specialty	chuyên môn,
species	loài,
specific	riêng,
specifically	đặc biệt,
specify	chỉ định,
spectacular	đẹp mắt,
spectrum	quang phổ,
speculate	suy đoán,
speculation	suy đoán,
speech	phát biểu,
speed	tốc độ,
spell	Đánh vần,
spend	tiêu,
sphere	quả cầu,
spill	tràn,
spine	xương sống,
spirit	tinh thần,
spit	nhổ,
spite	bất bình,
sponsor	nhà tài trợ,
spoon	cái thìa,
sport	môn thể thao,
spot	nơi,
spouse	vợ hoặc chồng,
spray	Xịt nước,
spread	Lan tràn,
spring	mùa xuân,
sprinkle	rắc,
spy	gián điệp,
squad	đội hình,
square	Quảng trường,
stack	cây rơm,
stadium	sân vận động,
staff	cán bộ,
stage	sân khấu,
stance	lập trường,
stand	đứng,
standard	Tiêu chuẩn,
standing	đứng,
star	ngôi sao,
stare	nhìn chằm chằm,
start	khởi đầu,
starter	bắt đầu,
starting	bắt đầu,
state	tiểu bang,
statement	tuyên bố,
station	ga tàu,
statistical	thống kê,
statue	bức tượng,
status	trạng thái,
statute	đạo luật,
stay	ở lại,
steadily	liên tục,
steak	miếng bò hầm,
steal	lấy trộm,
steam	hơi nước,
steep	dốc,
steer	chỉ đạo,
stem	thân cây,
step	bậc thang,
stereotype	khuôn mẫu,
stick	gậy,
stiff	cứng,
still	vẫn,
stimulate	kích thích,
stimulus	kích thích kinh tế,
stir	khuấy,
stock	cổ phần,
stone	Cục đá,
stop	dừng lại,
store	cửa hàng,
storm	bão táp,
story	câu chuyện,
stove	bếp,
straight	thẳng,
straighten	làm thẳng,
strain	sự căng thẳng,
strange	kỳ lạ,
strategy	chiến lược,
straw	Rơm rạ,
streak	streak,
street	đường phố,
strength	sức mạnh,
strengthen	củng cố,
stress	nhấn mạnh,
stretch	căng ra,
strict	nghiêm khắc,
strictly	nghiêm khắc,
strike	đình công,
striking	nổi bật,
strip	dải,
stroke	Cú đánh,
strong	mạnh,
structural	cấu trúc,
structure	kết cấu,
struggle	đấu tranh,
student	sinh viên,
studio	studio,
study	học,
stuff	đồ đạc,
stumble	tình cờ gặp,
style	Phong cách,
subject	môn học,
submit	đệ trình,
subsequent	sau đó,
subsidy	trợ cấp,
substantially	đáng kể,
subtle	tế nhị,
suburb	ngoại ô,
suburban	ngoại ô,
success	sự thành công,
successful	thành công,
successfully	thành công,
such	như là,
suck	hút,
sudden	đột nhiên,
suddenly	đột ngột,
sue	kiện,
suffer	đau khổ,
suffering	đau khổ,
sufficient	đủ,
sugar	đường,
suggest	đề nghị,
suit	bộ đồ,
suitable	thích hợp,
suite	suite,
sum	tổng hợp,
summary	tóm lược,
summer	mùa hè,
summit	hội nghị thượng đỉnh,
sun	mặt trời,
sunlight	ánh sáng mặt trời,
sunny	nắng,
superior	cấp trên,
supermarket	siêu thị,
supervisor	người giám sát,
supplier	nhà cung cấp,
supply	cung cấp,
support	ủng hộ,
supportive	hỗ trợ,
supposed	giả định,
supposedly	được cho là,
Supreme	Tối cao,
sure	chắc chắn rồi,
surface	bề mặt,
surgeon	bác sĩ phẫu thuật,
surgery	phẫu thuật,
surprise	sự ngạc nhiên,
surprised	ngạc nhiên,
surprisingly	thật ngạc nhiên,
surround	vây quanh,
surrounding	xung quanh,
surveillance	giám sát,
survey	khảo sát,
survive	tồn tại,
survivor	người sống sót,
suspect	nghi ngờ,
suspend	đình chỉ,
suspicion	nghi ngờ,
suspicious	nghi ngờ,
sustain	duy trì,
sustainable	bền vững,
swallow	nuốt,
swear	xin thề,
sweat	mồ hôi,
sweater	áo len,
sweet	ngọt,
swell	sưng lên,
swimming	bơi lội,
swing	lung lay,
switch	công tắc điện,
sword	thanh kiếm,
symbolic	tượng trưng,
sympathy	cảm thông,
syndrome	hội chứng,
system	hệ thống,
table	bàn,
tackle	giải quyết,
tactic	chiến thuật,
tag	nhãn,
tail	đuôi,
take	lấy,
talented	có tài,
talk	nói chuyện,
tall	cao,
tank	xe tăng,
tape	băng,
target	Mục tiêu,
task	bài tập,
tax	Thuế,
taxpayer	người nộp thuế,
teach	dạy,
teacher	giáo viên,
teaching	giảng bài,
team	đội,
teammate	đồng đội,
tear	nước mắt,
technician	kỹ thuật viên,
technique	kỹ thuật,
technological	công nghệ,
technology	Công nghệ,
teenage	thiếu niên,
telephone	Điện thoại,
television	tivi,
tell	nói,
temperature	nhiệt độ,
temple	ngôi đền,
temporary	tạm thời,
ten	mười,
tend	có xu hướng,
tendency	khuynh hướng,
tender	đấu thầu,
tennis	quần vợt,
tent	lều,
term	kỳ hạn,
terms	điều kiện,
terrain	địa hình,
terrible	khủng khiếp,
terribly	khủng khiếp,
terrific	khủng khiếp,
terrorist	khủng bố,
test	thử nghiệm,
text	bản văn,
textbook	sách giáo khoa,
texture	kết cấu,
than	hơn,
thank	cảm tạ,
thanks	cảm ơn,
Thanksgiving	Lễ Tạ ơn,
that	cái đó,
theater	rạp hát,
their	họ,
them	họ,
theme	chủ đề,
themselves	bản thân họ,
then	sau đó,
theological	thần học,
theology	thần học,
theoretical	lý thuyết,
theory	lý thuyết,
therapist	nhà trị liệu,
there	ở đó,
thereby	bằng cách ấy,
therefore	vì thế,
these	những,
they	họ,
thick	dày,
thigh	đùi,
thin	gầy,
thing	Điều,
think	suy nghĩ,
thinking	Suy nghĩ,
third	thứ ba,
this	điều này,
thoroughly	triệt để,
those	những,
though	Tuy nhiên,
thought	nghĩ,
thousand	nghìn,
thread	chủ đề,
threat	mối đe dọa,
threaten	hăm dọa,
three	số ba,
threshold	ngưỡng,
thrive	phát đạt,
through	xuyên qua,
throughout	khắp,
throw	ném,
thumb	ngón tay cái,
thus	do đó,
ticket	vé,
tide	thủy triều,
tie	cà vạt,
tight	chặt chẽ,
tighten	thắt chặt,
tightly	chặt chẽ,
tile	ngói,
till	cho đến,
timber	gỗ,
time	thời gian,
timing	thời gian,
tiny	nhỏ bé,
tip	tiền boa,
tired	mệt mỏi,
title	chức vụ,
tobacco	thuốc lá,
today	hôm nay,
toe	ngón chân,
together	cùng với nhau,
toilet	phòng vệ sinh,
tolerance	lòng khoan dung,
tolerate	tha thứ,
toll	số điện thoại,
tomorrow	Ngày mai,
tonight	tối nay,
too	quá,
tool	dụng cụ,
tooth	răng,
top	hàng đầu,
topic	đề tài,
total	toàn bộ,
totally	hoàn toàn,
touch	chạm,
touchdown	đụng,
tough	khó khăn,
tour	chuyến du lịch,
tourism	du lịch,
toward	đối với,
towel	khăn tắm,
town	thị trấn,
toxic	chất độc,
trace	dấu vết,
track	theo dõi,
trade	buôn bán,
trading	thương mại,
tradition	truyền thống,
traditional	truyên thông,
traditionally	theo truyền thống,
traffic	giao thông,
tragic	bi kịch,
trail	đường mòn,
trailer	trailer,
train	xe lửa,
trainer	người huấn luyện,
training	đào tạo,
trait	đặc điểm,
transaction	Giao dịch,
transformation	chuyển đổi,
transit	quá cảnh,
translation	dịch,
transmission	truyền tải,
transmit	chuyển giao,
transport	vận chuyển,
trap	bẩy,
trash	rác,
trauma	chấn thương,
travel	du lịch,
traveler	du khách,
tray	cái mâm,
treasure	kho báu,
treat	đãi,
treatment	điều trị,
tree	cây,
trend	khuynh hướng,
trial	thử nghiệm,
tribal	bộ lạc,
trick	lừa,
trigger	cò súng,
trim	cắt tỉa,
trip	chuyến đi,
triumph	triumph,
troop	quân,
tropical	nhiệt đới,
trouble	rắc rối,
troubled	gặp rắc rối,
truck	xe tải,
TRUE	THẬT,
truly	thực sự,
trunk	Thân cây,
trust	Lòng tin,
truth	sự thật,
try	thử,
Tshirt	Áo thun,
tuck	tuck,
tumor	khối u,
tune	điều chỉnh,
tunnel	đường hầm,
turkey	gà tây,
turn	xoay,
TV	TV,
twelve	mười hai,
twentieth	hai mươi,
twice	hai lần,
twist	xoắn,
two	hai,
twothirds	hai phần ba,
type	kiểu,
typical	điển hình,
ugly	xấu xí,
uh	uh,
ultimately	cuối cùng,
uncertain	không chắc chắn,
uncertainty	tính không chắc chắn,
uncle	Chú,
uncomfortable	khó chịu,
uncover	khám phá,
under	Dưới,
undergo	trải qua,
undergraduate	đại học,
underlying	cơ bản,
undermine	phá hoại,
understand	hiểu không,
understanding	hiểu biết,
undertake	thực hiện,
unemployment	thất nghiệp,
unexpected	bất ngờ,
unfair	không công bằng,
unfold	mở ra,
unhappy	không vui,
uniform	đồng phục,
union	liên hiệp,
unique	độc nhất,
unit	đơn vị,
unite	thống nhất,
United	United,
unity	thống nhất,
university	trường đại học,
unless	trừ khi,
unlike	không giống,
unprecedented	chưa từng có,
until	cho đến,
up	lên,
update	cập nhật,
upon	trên,
upper	phía trên,
upset	buồn bã,
upstairs	tầng trên,
urban	đô thị,
us	chúng tôi,
use	sử dụng,
used	đã sử dụng,
user	người dùng,
usually	thông thường,
utilize	sử dụng,
vaccine	vắcxin,
vacuum	Khoảng chân không,
valid	có hiệu lực,
validity	hiệu lực,
valley	thung lũng,
value	giá trị,
van	van,
vanish	biến mất,
variable	biến,
variety	đa dạng,
various	nhiều,
vast	rộng lớn,
vegetable	rau,
vehicle	phương tiện,
vendor	nhà cung cấp,
venture	liên doanh,
verbal	lời nói,
verdict	bản án,
version	phiên bản,
versus	đấu với,
vertical	theo chiều dọc,
very	rất,
veteran	cựu chiến binh,
victim	nạn nhân,
victory	chiến thắng,
video	video,
view	lượt xem,
village	làng,
violence	bạo lực,
virtual	ảo,
virtue	Đức hạnh,
vision	tầm nhìn,
visit	chuyến thăm,
visitor	khách thăm quan,
vitamin	vitamin,
vocal	tiếng hát,
voice	tiếng nói,
volume	âm lượng,
voluntary	tình nguyện,
volunteer	Tình nguyện,
vote	bỏ phiếu,
voter	cử tri,
voting	bầu cử,
wagon	toa xe,
waist	eo,
wait	chờ đợi,
wake	đánh thức,
walk	đi bộ,
walking	đi dạo,
wall	Tường,
wander	đi lang thang,
want	muốn,
war	chiến tranh,
warehouse	Kho,
warm	ấm áp,
warmth	ấm áp,
warn	cảnh báo,
warrior	chiến binh,
waste	chất thải,
watch	đồng hồ đeo tay,
water	Nước,
wave	làn sóng,
way	đường,
we	chúng tôi,
weaken	làm suy yếu,
weakness	yếu đuối,
wealthy	giàu có,
weapon	vũ khí,
wear	mặc,
weather	thời tiết,
weave	dệt,
web	web,
weed	cỏ dại,
week	tuần,
weekend	ngày cuối tuần,
weekly	hàng tuần,
weight	cân nặng,
weird	kỳ dị,
welcome	chào mừng,
welfare	phúc lợi,
well	tốt,
wellbeing	hạnh phúc,
wellknown	nổi tiếng,
west	hướng Tây,
western	miền Tây,
whale	cá voi,
what	gì,
whatever	bất cứ điều gì,
wheat	lúa mì,
wheelchair	xe lăn,
when	khi nào,
where	Ở đâu,
wherever	ở đâu,
whether	liệu,
which	mà,
while	trong khi,
whip	roi da,
white	trắng,
who	người nào,
whoever	bất cứ ai,
whole	toàn thể,
whom	ai,
whose	có,
why	tại sao,
wide	rộng,
widespread	phổ biến rộng rãi,
widow	Người đàn bà góa,
wife	người vợ,
wild	hoang dã,
wilderness	hoang dã,
wildlife	động vật hoang dã,
will	sẽ,
willing	sẵn lòng,
willingness	sự sẵn lòng,
win	thắng lợi,
wind	gió,
window	cửa sổ,
wine	rượu nho,
wing	canh,
winner	người chiến thắng,
winter	mùa đông,
wise	khôn ngoan,
wish	muốn,
with	với,
withdrawal	thu hồi,
within	bên trong,
without	không có,
witness	nhân chứng,
wolf	chó sói,
woman	đàn bà,
wonder	ngạc nhiên,
wonderful	Tuyệt vời,
wood	gỗ,
word	từ,
work	công việc,
worker	công nhân,
workout	tập thể dục,
workplace	nơi làm việc,
works	công trinh,
workshop	xưởng,
world	thế giới,
worldwide	trên toàn thế giới,
worried	lo lắng,
worry	lo,
worth	giá trị,
would	sẽ,
wound	vết thương,
wow	wow,
wrist	cổ tay,
write	viết,
writer	nhà văn,
writing	viết,
written	bằng văn bản,
wrong	sai rồi,
yard	sân,
yeah	yeah,
year	năm,
yellow	màu vàng,
yes	Vâng,
yesterday	hôm qua,
yet	chưa,
yield	năng suất,
you	bạn,
young	trẻ,
youngster	thiếu niên,
your	của bạn,
yours	của bạn,
yourself	bản thân bạn,
youth	thiếu niên,
zone	vùng,
