ác mộng	nightmare,
tư vấn	counseling,
tử vong	mortality,
Tùy chọn	option,
tuyên bố	proclaim,
tuyển dụng	recruit,
tuyệt	sheer,
tuyệt diệu	fantastic,
tuyệt đối	absolute,
tuyệt quá	great,
Tuyệt vời	wonderful,
tuyệt vọng	desperately,
Tuy nhiên	however,
tùy theo	depend,
TV	TV,
tỷ	billion,
tỷ lệ	odds,
uh	uh,
ứng cử viên	nominee,
ứng dụng	application,
ủng hộ	favor,
ung thư	cancer,
ứng viên	candidate,
United	United,
ước tính	estimated,
uống	drinking,
ủy ban	committee,
ủy nhiệm	mandate,
uy tín	credibility,
ủy viên	commissioner,
và	and,
va chạm	impact,
vách đá	cliff,
vắcxin	vaccine,
vải	cloth,
vai trò	role,
van	van,
văn chương	literature,
vận chuyển	transport,
vẫn còn	remain,
vấn đề	matter,
vận dụng	manipulate,
vàng	golden,
vận hành	operate,
văn hoá	cultural,
văn phòng	office,
vào	into,
vật	object,
vật chất	material,
vật lý	physics,
vật nuôi	pet,
váy	skirt,
vây quanh	surround,
vé	ticket,
về cơ bản	basically,
vẻ đẹp	beauty,
vẽ tranh	draw,
vết thương	wound,
vết trầy	scratch,
vĩ đại nhất	greatest,
video	video,
việc làm	job,
viện bảo tàng	museum,
Viên thuốc	pill,
viện trợ	aid,
viết	writing,
vi khuẩn	bacteria,
vinh quang	glory,
vitamin	vitamin,
vì thế	hence,
vị trí	placement,
vợ chồng	couple,
vô cùng	incredibly,
vô danh	anonymous,
Vô gia cư	homeless,
vô hình	invisible,
vợ hoặc chồng	spouse,
vội	hurry,
vòi hoa sen	shower,
vội vã	rush,
vồ lấy	grab,
vốn có	inherent,
vòng	lap,
vòng lặp	loop,
vòng tròn	circle,
vỗ vỗ	pat,
vừa đủ	barely,
vừa lòng	pleased,
vừa phải	moderate,
vụ bê bối	scandal,
vũ công	dancer,
vui lên	cheer,
vui lòng	pleasure,
vui mừng	happy,
vui vẻ	fun,
vũ khí	weapon,
vùng	zone,
vững chắc	firmly,
vụ nổ	blast,
vườn	garden,
Vương quốc	kingdom,
vượt qua	cross,
vượt ra ngoài	beyond,
vv	etc,
web	web,
wow	wow,
xa	far,
xà bông	soap,
xác nhận	confirm,
xác thịt	flesh,
xã hội	socially,
xâm chiếm	invade,
xăng	gasoline,
xa nhau	apart,
xáo trộn	disturb,
xấu	bad,
xấu hổ	embarrassed,
xấu xí	ugly,
xây dựng	construction,
xây dựng lại	rebuild,
xảy ra	occur,
xe buýt	bus,
Xe đạp	bicycle,
xe đẩy	cart,
xe hơi	car,
xe lăn	wheelchair,
xe lửa	train,
xem	see,
xem xét	examine,
Xêp hạng	rating,
xe tải	truck,
xe tăng	tank,
xin lỗi	apology,
xin thề	swear,
xin vui lòng	please,
Xịt nước	spray,
xô	poke,
xoắn	twist,
xoay	turn,
xưa	ancient,
xuất hiện	appearance,
xuất khẩu	export,
xử lý	handle,
xung	pulse,
xung quanh	surrounding,
xưởng	workshop,
xương sống	spine,
xương sườn	rib,
xuyên qua	through,
ý định	intent,
yeah	yeah,
Yên nghỉ	rip,
Yên tĩnh	quiet,
yêu	love,
yêu cầu	inquiry,
yếu đuối	weakness,
yêu thích	favorite,
Y khoa	medical,
ý kiến	idea,
Ý nghĩa	meaning,
y tá	nurse,
ý thức	consciousness,
ý thức hệ	ideological,
